mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car
23.7,3.0,70.0,100.0,2420.0,12.5,80.0,3.0,mazda rx-7 gs
35.0,4.0,122.0,88.0,2500.0,15.1,80.0,2.0,triumph tr7 coupe
23.6,4.0,140.0,,2905.0,14.3,80.0,1.0,ford mustang cobra
32.4,4.0,107.0,72.0,2290.0,17.0,80.0,3.0,honda accord
27.2,4.0,135.0,84.0,2490.0,15.7,81.0,1.0,plymouth reliant
26.6,4.0,151.0,84.0,2635.0,16.4,81.0,1.0,buick skylark
25.8,4.0,156.0,92.0,2620.0,14.4,81.0,1.0,dodge aries wagon (sw)
23.5,6.0,173.0,110.0,2725.0,12.6,81.0,1.0,chevrolet citation
30.0,4.0,135.0,84.0,2385.0,12.9,81.0,1.0,plymouth reliant
39.1,4.0,79.0,58.0,1755.0,16.9,81.0,3.0,toyota starlet
39.0,4.0,86.0,64.0,1875.0,16.4,81.0,1.0,plymouth champ
35.1,4.0,81.0,60.0,1760.0,16.1,81.0,3.0,honda civic 1300
32.3,4.0,97.0,67.0,2065.0,17.8,81.0,3.0,subaru
37.0,4.0,85.0,65.0,1975.0,19.4,81.0,3.0,datsun 210 mpg
37.7,4.0,89.0,62.0,2050.0,17.3,81.0,3.0,toyota tercel
34.1,4.0,91.0,68.0,1985.0,16.0,81.0,3.0,mazda glc 4
34.7,4.0,105.0,63.0,2215.0,14.9,81.0,1.0,plymouth horizon 4
34.4,4.0,98.0,65.0,2045.0,16.2,81.0,1.0,ford escort 4w
29.9,4.0,98.0,65.0,2380.0,20.7,81.0,1.0,ford escort 2h
33.0,4.0,105.0,74.0,2190.0,14.2,81.0,2.0,volkswagen jetta
34.5,4.0,100.0,,2320.0,15.8,81.0,2.0,renault 18i
33.7,4.0,107.0,75.0,2210.0,14.4,81.0,3.0,honda prelude
32.4,4.0,108.0,75.0,2350.0,16.8,81.0,3.0,toyota corolla
32.9,4.0,119.0,100.0,2615.0,14.8,81.0,3.0,datsun 200sx
31.6,4.0,120.0,74.0,2635.0,18.3,81.0,3.0,mazda 626
28.1,4.0,141.0,80.0,3230.0,20.4,81.0,2.0,peugeot 505s turbo diesel
30.7,6.0,145.0,76.0,3160.0,19.6,81.0,2.0,volvo diesel
25.4,6.0,168.0,116.0,2900.0,12.6,81.0,3.0,toyota cressida
24.2,6.0,146.0,120.0,2930.0,13.8,81.0,3.0,datsun 810 maxima
22.4,6.0,231.0,110.0,3415.0,15.8,81.0,1.0,buick century
26.6,8.0,350.0,105.0,3725.0,19.0,81.0,1.0,oldsmobile cutlass ls
20.2,6.0,200.0,88.0,3060.0,17.1,81.0,1.0,ford granada gl
17.6,6.0,225.0,85.0,3465.0,16.6,81.0,1.0,chrysler lebaron salon
28.0,4.0,112.0,88.0,2605.0,19.6,82.0,1.0,chevrolet cavalier
27.0,4.0,112.0,88.0,2640.0,18.6,82.0,1.0,chevrolet cavalier wagon
34.0,4.0,112.0,88.0,2395.0,18.0,82.0,1.0,chevrolet cavalier 2-door
31.0,4.0,112.0,85.0,2575.0,16.2,82.0,1.0,pontiac j2000 se hatchback
29.0,4.0,135.0,84.0,2525.0,16.0,82.0,1.0,dodge aries se
27.0,4.0,151.0,90.0,2735.0,18.0,82.0,1.0,pontiac phoenix
24.0,4.0,140.0,92.0,2865.0,16.4,82.0,1.0,ford fairmont futura
23.0,4.0,151.0,,3035.0,20.5,82.0,1.0,amc concord dl
36.0,4.0,105.0,74.0,1980.0,15.3,82.0,2.0,volkswagen rabbit l
37.0,4.0,91.0,68.0,2025.0,18.2,82.0,3.0,mazda glc custom l
31.0,4.0,91.0,68.0,1970.0,17.6,82.0,3.0,mazda glc custom
38.0,4.0,105.0,63.0,2125.0,14.7,82.0,1.0,plymouth horizon miser
36.0,4.0,98.0,70.0,2125.0,17.3,82.0,1.0,mercury lynx l
36.0,4.0,120.0,88.0,2160.0,14.5,82.0,3.0,nissan stanza xe
36.0,4.0,107.0,75.0,2205.0,14.5,82.0,3.0,honda accord
34.0,4.0,108.0,70.0,2245.0,16.9,82.0,3.0,toyota corolla
38.0,4.0,91.0,67.0,1965.0,15.0,82.0,3.0,honda civic
32.0,4.0,91.0,67.0,1965.0,15.7,82.0,3.0,honda civic (auto)
38.0,4.0,91.0,67.0,1995.0,16.2,82.0,3.0,datsun 310 gx
25.0,6.0,181.0,110.0,2945.0,16.4,82.0,1.0,buick century limited
38.0,6.0,262.0,85.0,3015.0,17.0,82.0,1.0,oldsmobile cutlass ciera (diesel)
26.0,4.0,156.0,92.0,2585.0,14.5,82.0,1.0,chrysler lebaron medallion
22.0,6.0,232.0,112.0,2835.0,14.7,82.0,1.0,ford granada l
32.0,4.0,144.0,96.0,2665.0,13.9,82.0,3.0,toyota celica gt
36.0,4.0,135.0,84.0,2370.0,13.0,82.0,1.0,dodge charger 2.2
27.0,4.0,151.0,90.0,2950.0,17.3,82.0,1.0,chevrolet camaro
27.0,4.0,140.0,86.0,2790.0,15.6,82.0,1.0,ford mustang gl
44.0,4.0,97.0,52.0,2130.0,24.6,82.0,2.0,vw pickup
32.0,4.0,135.0,84.0,2295.0,11.6,82.0,1.0,dodge rampage
28.0,4.0,120.0,79.0,2625.0,18.6,82.0,1.0,ford ranger
31.0,4.0,119.0,82.0,2720.0,19.4,82.0,1.0,chevy s-10
